gene,log2FC,p_value,mean_constant,mean_target,p_adjusted,regulation
KRT5,3.8388118668379096,2.4773223748253447e-21,13.182585451218868,9.343773584380958,1.164341516167912e-19,Surexprimé dans BRCA-Normal
KRT14,3.5699708997648383,2.5595309617154165e-16,12.658058227028214,9.088087327263375,4.009931840020819e-15,Surexprimé dans BRCA-Normal
SFRP1,3.2128406202756032,8.490945191706242e-14,12.523405568346313,9.31056494807071,5.70106320014562e-13,Surexprimé dans BRCA-Normal
KRT17,3.1789716920275524,3.7894939333995344e-16,12.516234650353,9.337262958325448,4.452655371744453e-15,Surexprimé dans BRCA-Normal
CLCA2,2.8869657590921767,1.1325935457563286e-06,8.175037130445725,5.288071371353548,2.95732759169708e-06,Surexprimé dans BRCA-Normal
EGFR,2.26770374343838,1.011388672667107e-13,9.28551330695405,7.017809563515669,5.941908451919253e-13,Surexprimé dans BRCA-Normal
CDH3,2.2310660109204346,8.644723738242389e-20,11.178196265687081,8.947130254766646,2.0315100784869612e-18,Surexprimé dans BRCA-Normal
FOXC1,1.9132207668991832,1.6745087349790574e-14,8.918007624861422,7.004786857962239,1.3116985090669284e-13,Surexprimé dans BRCA-Normal
GPR126,1.6353276576309401,1.634725128735299e-09,8.308404210678878,6.673076553047938,6.9847346409599134e-09,Surexprimé dans BRCA-Normal
PHGDH,1.4555104933643772,5.644410631789974e-09,10.484874516500177,9.0293640231358,2.0406715361086827e-08,Surexprimé dans BRCA-Normal
MYC,1.0223204684037697,2.3695621242981805e-07,11.44671436225785,10.42439389385408,6.55114234364791e-07,Surexprimé dans BRCA-Normal
FGFR4,0.7874196195571947,0.05859313733165393,7.377016130281202,6.589596510724007,0.0949612915375081,Non significatif
CCNE1,0.46608381091384743,0.01783635231184881,5.8905547590470695,5.424470948133222,0.032242636871419005,Non significatif
MYBL2,0.25438646569758205,0.4303700528547537,8.588114395350532,8.33372792965295,0.5473002269602641,Non significatif
CDC20,0.24240845654226995,0.33061006501417967,8.451053093324383,8.208644636782113,0.4570197957548954,Non significatif
GRB7,0.21371762601947175,0.43085337016020797,9.25136595770732,9.037648331687848,0.5473002269602641,Non significatif
ACTR3B,0.14998956712369882,0.28239589989719194,7.670477243832435,7.520487676708736,0.41476897797400064,Non significatif
TYMS,0.1315791928990837,0.43026844237053674,8.74095574791304,8.609376555013956,0.5473002269602641,Non significatif
KIF2C,0.037873944962061756,0.8790535256690659,7.931562988197427,7.893689043235366,0.9242495922015528,Non significatif
PTTG1,0.008239966435984236,0.9743251535104049,7.790286833771972,7.782046867335988,0.9743251535104049,Non significatif
UBE2C,-0.020449107805232458,0.9462242767569752,8.115934098391016,8.136383206196248,0.9667943697299529,Non significatif
RRM2,-0.035941612105386156,0.8849198223206357,8.962991522996935,8.998933135102321,0.9242495922015528,Non significatif
ANLN,-0.03948313879699583,0.8665494463676668,8.560952916842403,8.600436055639399,0.9242495922015528,Non significatif
TMEM45B,-0.06410323278213337,0.8525702533117813,7.2526824916368975,7.316785724419031,0.9242495922015528,Non significatif
CEP55,-0.08993147093523923,0.7025362048580619,7.57920725920727,7.669138730142509,0.8053463811787539,Non significatif
MKI67,-0.09858234825325773,0.6577159465708169,9.892316133635125,9.990898481888383,0.7728162372207098,Non significatif
ERBB2,-0.13396353478111678,0.6098659625321718,12.831843271796444,12.965806806577561,0.7349666727951815,Non significatif
MELK,-0.1743395427315768,0.4896343747642058,7.166781090389124,7.341120633120701,0.6056004108925703,Non significatif
CDC6,-0.1922709106033027,0.3224540482870707,7.706433081674693,7.898703992277996,0.4570197957548954,Non significatif
EXO1,-0.3087211085692507,0.15302268337031352,6.547790294012143,6.856511402581393,0.23973553728015784,Non significatif
BAG1,-0.3609958600418395,0.0007649669091822329,10.520779246690799,10.881775106732638,0.0016342474877984066,Non significatif
CCNB1,-0.3726470181294843,0.018661628109474606,8.948227313417863,9.320874331547348,0.032485056338715054,Non significatif
MDM2,-0.4070055985232006,1.2907373179166613e-06,10.706145153371658,11.113150751894858,3.1928765232675307e-06,Non significatif
BLVRA,-0.41709003656867694,0.00428447926402311,9.980871734269057,10.397961770837734,0.008390438558711924,Non significatif
CENPF,-0.4561802966653161,0.032344935200055325,9.787956967702538,10.244137264367854,0.05429328408580716,Non significatif
TYRP1,-0.5391685660274401,0.21535938690788786,2.0113663629593037,2.550534928986744,0.32651261886034616,Non significatif
UBE2T,-0.5778989909192456,0.012979875365199166,7.346991387821368,7.9248903787406135,0.024402165686574433,Surexprimé dans BRCA-LumA
BCL2,-1.0230939095532179,5.12109075956365e-08,9.98156300719436,11.004656916747578,1.7192233264249398e-07,Surexprimé dans BRCA-LumA
GPR160,-1.1275930713313063,3.2820816544781573e-09,8.95437642924419,10.081969500575497,1.2854819813372785e-08,Surexprimé dans BRCA-LumA
MMP11,-1.4643494780135793,0.0008290503954124354,11.126636754497945,12.590986232511524,0.001694146460190629,Surexprimé dans BRCA-LumA
MLPH,-1.4646392573266844,8.828095670243584e-08,11.414001003581363,12.878640260908048,2.7661366433429896e-07,Surexprimé dans BRCA-LumA
SLC39A6,-1.8714382069897262,1.193937154501425e-12,12.536229360989443,14.40766756797917,6.235005140174109e-12,Surexprimé dans BRCA-LumA
MAPT,-1.8970341265565516,7.474821626625359e-06,9.488676064351061,11.385710190907613,1.672936268816152e-05,Surexprimé dans BRCA-LumA
FOXA1,-1.9235835665736332,1.0116860827703895e-07,10.925669398861311,12.849252965434944,2.9718278681380195e-07,Surexprimé dans BRCA-LumA
PGR,-2.1859590661000645,1.965116570275591e-06,8.72048197008109,10.906441036181155,4.618023940147638e-06,Surexprimé dans BRCA-LumA
ESR1,-3.185442817606882,1.0223928017256051e-10,10.141755623080178,13.32719844068706,4.805246168110344e-10,Surexprimé dans BRCA-LumA
NAT1,-3.2374268108359603,5.610911086533874e-15,7.901729000085173,11.139155810921133,5.2742564213418414e-14,Surexprimé dans BRCA-LumA
